"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Throughput (128K)","Linux Reserved cost"
"C6I Metal","c6i.metal","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$2626.9488 monthly"
"R7A Quadruple Extra Large","r7a.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$587.7814 monthly"
"C6GN 12xlarge","c6gn.12xlarge","96.0 GiB","48 vCPUs","EBS only","75 Gigabit","3562.5 MB/s","$955.3948 monthly"
"M5 General Purpose Large","m5.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","81.25 MB/s","$43.8000 monthly"
"C6A 16xlarge","c6a.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","2500.0 MB/s","$1182.1255 monthly"
"R7I 48xlarge","r7i.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$6133.1534 monthly"
"R7I Quadruple Extra Large","r7i.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$511.0949 monthly"
"M7A 48xlarge","m7a.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$5373.8074 monthly"
"C6GN Large","c6gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","154.375 MB/s","$39.8069 monthly"
"C7A Large","c7a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","81.25 MB/s","$49.5670 monthly"
"C6A Extra Large","c6a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25 MB/s","$73.8833 monthly"
"C4 High-CPU Quadruple Extra Large","c4.4xlarge","30.0 GiB","16 vCPUs","EBS only","High","250.0 MB/s","$367.9200 monthly"
"C7GN Large","c7gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 30 Gigabit","130.25 MB/s","$57.3780 monthly"
"C7A Quadruple Extra Large","c7a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$396.5141 monthly"
"C7A 24xlarge","c7a.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$2379.0919 monthly"
"M5N 16xlarge","m5n.16xlarge","256.0 GiB","64 vCPUs","EBS only","75 Gigabit","1700.0 MB/s","$1751.2700 monthly"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","43.75 MB/s","$17.2280 monthly"
"C6GN Quadruple Extra Large","c6gn.4xlarge","32.0 GiB","16 vCPUs","EBS only","25 Gigabit","1187.5 MB/s","$318.4625 monthly"
"M5A Large","m5a.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","81.25 MB/s","$39.4200 monthly"
"M6A 48xlarge","m6a.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$4005.3275 monthly"
"M7I 48xlarge","m7i.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$4672.8760 monthly"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","593.75 MB/s","$463.5500 monthly"
"R7IZ 16xlarge","r7iz.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","2500.0 MB/s","$2737.3248 monthly"
"C7I Eight Extra Large","c7i.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","1250.0 MB/s","$689.5726 monthly"
"M5ZN Large","m5zn.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","100.0 MB/s","$75.9930 monthly"
"M7I-FLEX Eight Extra Large","m7i-flex.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$739.8258 monthly"
"C8G 48xlarge","c8g.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$3683.3391 monthly"
"M6I 24xlarge","m6i.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$2225.1787 monthly"
"C6IN Quadruple Extra Large","c6in.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 50 Gigabit","1562.5 MB/s","$417.2242 monthly"
"R5B Metal","r5b.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","7500.0 MB/s","$3289.2048 monthly"
"M7G Metal","m7g.metal","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","2500.0 MB/s","$1260.9290 monthly"
"C6A Eight Extra Large","c6a.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","1250.0 MB/s","$591.0664 monthly"
"M6IN Large","m6in.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","195.3125 MB/s","$64.0283 monthly"
"C6I Double Extra Large","c6i.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","312.5 MB/s","$164.1843 monthly"
"C7I Double Extra Large","c7i.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","312.5 MB/s","$172.3968 monthly"
"R7IZ Extra Large","r7iz.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","198.0 MB/s","$171.0828 monthly"
"R6A 12xlarge","r6a.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","1875.0 MB/s","$1314.2482 monthly"
"P3 High Performance GPU Double Extra Large","p3.2xlarge","61.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","218.75 MB/s","$1524.2400 monthly"
"M5A 24xlarge","m5a.24xlarge","384.0 GiB","96 vCPUs","EBS only","20 Gigabit","1718.75 MB/s","$1898.7300 monthly"
"M6IN Double Extra Large","m6in.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 40 Gigabit","781.25 MB/s","$256.1278 monthly"
"M7I-FLEX Extra Large","m7i-flex.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","78.125 MB/s","$92.4764 monthly"
"R6IN 12xlarge","r6in.12xlarge","384.0 GiB","48 vCPUs","EBS only","75 Gigabit","4687.5 MB/s","$1924.1851 monthly"
"C7I 16xlarge","c7i.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","2500.0 MB/s","$1379.1452 monthly"
"C5A Extra Large","c5a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","50.0 MB/s","$70.8100 monthly"
"C6IN 12xlarge","c6in.12xlarge","96.0 GiB","48 vCPUs","EBS only","75 Gigabit","4687.5 MB/s","$1251.6653 monthly"
"M5 General Purpose 24xlarge","m5.24xlarge","384.0 GiB","96 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$2119.1900 monthly"
"M5N 24xlarge","m5n.24xlarge","384.0 GiB","96 vCPUs","EBS only","100 Gigabit","2375.0 MB/s","$2627.2700 monthly"
"C6I Eight Extra Large","c6i.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","1250.0 MB/s","$656.7372 monthly"
"R5 24xlarge","r5.24xlarge","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$2781.3000 monthly"
"R5B Quadruple Extra Large","r5b.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","1250.0 MB/s","$548.2008 monthly"
"C6I 12xlarge","c6i.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","1875.0 MB/s","$985.1058 monthly"
"C6A 48xlarge","c6a.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$3546.3838 monthly"
"R6IN 16xlarge","r6in.16xlarge","512.0 GiB","64 vCPUs","EBS only","100 Gigabit","6250.0 MB/s","$2565.5777 monthly"
"M8G Medium","m8g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","39.375 MB/s","$21.6737 monthly"
"R7I Large","r7i.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","81.25 MB/s","$63.8896 monthly"
"C6A Quadruple Extra Large","c6a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$295.5332 monthly"
"C7A 12xlarge","c7a.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","1875.0 MB/s","$1189.5423 monthly"
"M7I Quadruple Extra Large","m7i.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$389.4039 monthly"
"C6G Extra Large","c6g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","148.5 MB/s","$62.5610 monthly"
"R5A 16xlarge","r5a.16xlarge","512.0 GiB","64 vCPUs","EBS only","12 Gigabit","1187.5 MB/s","$1662.9400 monthly"
"R6I Extra Large","r6i.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25 MB/s","$121.6910 monthly"
"R7IZ Quadruple Extra Large","r7iz.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$684.3312 monthly"
"M5N Double Extra Large","m5n.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","287.5 MB/s","$219.0000 monthly"
"R6G Extra Large","r6g.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","148.5 MB/s","$92.7100 monthly"
"C5N Large","c5n.large","5.25 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","81.25 MB/s","$49.6400 monthly"
"C6A Metal","c6a.metal","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$3546.3838 monthly"
"G3 Graphics GPU Eight Extra Large","g3.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","875.0 MB/s","$1135.9530 monthly"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","197.5 MB/s","$158.4100 monthly"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","287.5 MB/s","$176.6600 monthly"
"C7I 48xlarge","c7i.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$4137.4429 monthly"
"M7I-FLEX Large","m7i-flex.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","39.0625 MB/s","$46.2382 monthly"
"R5N 16xlarge","r5n.16xlarge","512.0 GiB","64 vCPUs","EBS only","75 Gigabit","1700.0 MB/s","$2192.9200 monthly"
"M7A Metal-48xl","m7a.metal-48xl","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$5373.8074 monthly"
"M7A Large","m7a.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","81.25 MB/s","$55.9764 monthly"
"R7A 48xlarge","r7a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$7053.3549 monthly"
"M7A Quadruple Extra Large","m7a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$447.8185 monthly"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","86.875 MB/s","$152.2780 monthly"
"R6G Quadruple Extra Large","r6g.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","593.75 MB/s","$370.8400 monthly"
"M6A Extra Large","m6a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25 MB/s","$83.4463 monthly"
"C6IN 24xlarge","c6in.24xlarge","192.0 GiB","96 vCPUs","EBS only","150 Gigabit","9375.0 MB/s","$2503.3306 monthly"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","1187.5 MB/s","$938.0500 monthly"
"M5N Metal","m5n.metal","384.0 GiB","96 vCPUs","EBS only","100 Gigabit","2375.0 MB/s","$2627.2700 monthly"
"M7I Metal-24xl","m7i.metal-24xl","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$2336.4380 monthly"
"C7I-FLEX Eight Extra Large","c7i-flex.8xlarge","64.0 GiB","32 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$655.0947 monthly"
"M7I 24xlarge","m7i.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$2336.4380 monthly"
"R6I 24xlarge","r6i.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$2920.5475 monthly"
"C6IN Eight Extra Large","c6in.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","3125.0 MB/s","$834.4411 monthly"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","78.75 MB/s","$35.2590 monthly"
"C6IN 16xlarge","c6in.16xlarge","128.0 GiB","64 vCPUs","EBS only","100 Gigabit","6250.0 MB/s","$1668.8822 monthly"
"R7G Quadruple Extra Large","r7g.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","625.0 MB/s","$413.7640 monthly"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","2375.0 MB/s","$636.9323 monthly"
"C5 High-CPU Large","c5.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","81.25 MB/s","$39.4200 monthly"
"M6I Extra Large","m6i.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25 MB/s","$92.7173 monthly"
"R7A 24xlarge","r7a.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$3526.6811 monthly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","875.0 MB/s","$981.1200 monthly"
"R7IZ 32xlarge","r7iz.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$5474.6496 monthly"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","48 vCPUs","EBS only","10 Gigabit","847.5 MB/s","$949.0000 monthly"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","360.0 MB/s","$416.1000 monthly"
"R4 High-Memory 16xlarge","r4.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","1750.0 MB/s","$1962.2400 monthly"
"M7A Double Extra Large","m7a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","312.5 MB/s","$223.9056 monthly"
"R6IN Double Extra Large","r6in.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 40 Gigabit","781.25 MB/s","$320.6963 monthly"
"U-3TB1 56xlarge","u-3tb1.56xlarge","3072.0 GiB","224 vCPUs","EBS only","50 Gigabit","2375.0 MB/s","$12281.1477 monthly"
"M5ZN 12xlarge","m5zn.12xlarge","192.0 GiB","48 vCPUs","EBS only","100 Gigabit","2375.0 MB/s","$1823.1020 monthly"
"M6G Extra Large","m6g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","148.5 MB/s","$70.5180 monthly"
"R7G Metal","r7g.metal","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","2500.0 MB/s","$1654.9830 monthly"
"M8G Metal-48xl","m8g.metal-48xl","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$4161.0876 monthly"
"M6G Double Extra Large","m6g.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","296.875 MB/s","$141.0360 monthly"
"C6I 32xlarge","c6i.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$2626.9488 monthly"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   4h 4.8m                   burst","EBS only","Moderate","0 MB/s","$167.9000 monthly"
"R6A 48xlarge","r6a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$5256.9855 monthly"
"R5N Double Extra Large","r5n.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","287.5 MB/s","$273.7500 monthly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","32 vCPUs","EBS only","10 Gigabit","850.0 MB/s","$927.1000 monthly"
"M6A 32xlarge","m6a.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$2670.2159 monthly"
"R6I 12xlarge","r6i.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","1875.0 MB/s","$1460.2774 monthly"
"R7IZ Double Extra Large","r7iz.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","396.0 MB/s","$342.1656 monthly"
"R5 Large","r5.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","81.25 MB/s","$57.6700 monthly"
"C7G Quadruple Extra Large","c7g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","625.0 MB/s","$279.0060 monthly"
"R5N 12xlarge","r5n.12xlarge","384.0 GiB","48 vCPUs","EBS only","50 Gigabit","1187.5 MB/s","$1644.6900 monthly"
