"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Throughput (128K)","Linux Reserved cost"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","48 vCPUs","EBS only","20 Gigabit","1781.25 MB/s","$1112.5930 monthly"
"M7G Double Extra Large","m7g.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","312.5 MB/s","$157.6070 monthly"
"M7G 12xlarge","m7g.12xlarge","192.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","1875.0 MB/s","$945.7150 monthly"
"C7G 16xlarge","c7g.16xlarge","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","2500.0 MB/s","$1116.0240 monthly"
"C6G Quadruple Extra Large","c6g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","593.75 MB/s","$250.1710 monthly"
"C6G Double Extra Large","c6g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","296.875 MB/s","$125.1220 monthly"
"U-9TB1 Metal","u-9tb1.metal","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","0 MB/s","unavailable"
"U-6TB1 Metal","u-6tb1.metal","6144.0 GiB","448 vCPUs","EBS only","100 Gigabit","0 MB/s","unavailable"
"P2 General Purpose GPU 16xlarge","p2.16xlarge","732.0 GiB","64 vCPUs","EBS only","25 Gigabit","1250.0 MB/s","$7174.4400 monthly"
"T4G Extra Large","t4g.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","86.875 MB/s","$61.5390 monthly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Low to Moderate","0 MB/s","$2.6280 monthly"
"C7G Metal","c7g.metal","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","2500.0 MB/s","$1116.0240 monthly"
"R8G 48xlarge","r8g.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$5461.8892 monthly"
"C8G Metal-24xl","c8g.metal-24xl","192.0 GiB","96 vCPUs","EBS only","40 Gigabit","3750.0 MB/s","$1841.6732 monthly"
"INF2 Extra Large","inf2.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 15 Gigabit","156.25 MB/s","$348.6991 monthly"
"I2 Large","i2.large","15.0 GiB","2 vCPUs","EBS only","Moderate","0 MB/s","unavailable"
"A1 Metal","a1.metal","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","437.5 MB/s","$187.6100 monthly"
"MAC1 Metal","mac1.metal","32.0 GiB","12 vCPUs","EBS only","25 Gigabit","1750.0 MB/s","unavailable"
"MAC2-M2 Metal","mac2-m2.metal","24.0 GiB","12 vCPUs","EBS only","10 Gigabit","1000.0 MB/s","unavailable"
"MAC2 Metal","mac2.metal","16.0 GiB","12 vCPUs","EBS only","10 Gigabit","1250.0 MB/s","unavailable"
"MAC2-M2PRO Metal","mac2-m2pro.metal","32.0 GiB","20 vCPUs","EBS only","10 Gigabit","1000.0 MB/s","unavailable"
"X2IEZN 12xlarge","x2iezn.12xlarge","1536.0 GiB","48 vCPUs","EBS only","100 Gigabit","2375.0 MB/s","$4497.8220 monthly"
"U7IN-24TB 224xlarge","u7in-24tb.224xlarge","24576.0 GiB","896 vCPUs","EBS only","200 Gigabit","12500.0 MB/s","$137548.8411 monthly"
"X8G 48xlarge","x8g.48xlarge","3072.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$8438.6321 monthly"
"X8G Extra Large","x8g.xlarge","64.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25 MB/s","$175.8059 monthly"
"X2IEZN 6xlarge","x2iezn.6xlarge","768.0 GiB","24 vCPUs","EBS only","50 Gigabit","1187.5 MB/s","$2248.9110 monthly"
"X8G Large","x8g.large","32.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","78.75 MB/s","$87.8993 monthly"
"U7IN-32TB 224xlarge","u7in-32tb.224xlarge","32768.0 GiB","896 vCPUs","EBS only","200 Gigabit","12500.0 MB/s","$183398.4548 monthly"
"U-24TB1 112xlarge","u-24tb1.112xlarge","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","4750.0 MB/s","$98249.1743 monthly"
"X2IEZN Double Extra Large","x2iezn.2xlarge","256.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","396.25 MB/s","$749.6370 monthly"
"X2IEZN Quadruple Extra Large","x2iezn.4xlarge","512.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","593.75 MB/s","$1499.2740 monthly"
"VT1 24xlarge","vt1.24xlarge","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$2391.4800 monthly"
"X2IEZN Metal","x2iezn.metal","1536.0 GiB","48 vCPUs","EBS only","100 Gigabit","2375.0 MB/s","$4497.8220 monthly"
"X8G Eight Extra Large","x8g.8xlarge","512.0 GiB","32 vCPUs","EBS only","15 Gigabit","1250.0 MB/s","$1406.4399 monthly"
"X8G Metal-24xl","x8g.metal-24xl","1536.0 GiB","96 vCPUs","EBS only","40 Gigabit","3750.0 MB/s","$4219.3197 monthly"
"U7I-12TB 224xlarge","u7i-12tb.224xlarge","12288.0 GiB","896 vCPUs","EBS only","100 Gigabit","7500.0 MB/s","$68786.1407 monthly"
"HPC7G Eight Extra Large","hpc7g.8xlarge","128.0 GiB","32 vCPUs","EBS only","200 Gigabit","10.875 MB/s","$967.6150 monthly"
"U7IN-16TB 224xlarge","u7in-16tb.224xlarge","16384.0 GiB","896 vCPUs","EBS only","200 Gigabit","12500.0 MB/s","$91699.2274 monthly"
"X2IEZN Eight Extra Large","x2iezn.8xlarge","1024.0 GiB","32 vCPUs","EBS only","75 Gigabit","1500.0 MB/s","$2998.5480 monthly"
"U-18TB1 112xlarge","u-18tb1.112xlarge","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","4750.0 MB/s","$73686.8789 monthly"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","8 vCPUs","EBS only","Moderate","0 MB/s","unavailable"
"HPC7G 16xlarge","hpc7g.16xlarge","128.0 GiB","64 vCPUs","EBS only","200 Gigabit","10.875 MB/s","$967.6150 monthly"
"U-18TB1 Metal","u-18tb1.metal","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","0 MB/s","unavailable"
"G5G Metal","g5g.metal","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$1261.9510 monthly"
"X8G 24xlarge","x8g.24xlarge","1536.0 GiB","96 vCPUs","EBS only","40 Gigabit","3750.0 MB/s","$4219.3197 monthly"
"VT1 3xlarge","vt1.3xlarge","24.0 GiB","12 vCPUs","EBS only","3.12 Gigabit","296.875 MB/s","$298.9350 monthly"
"X8G 12xlarge","x8g.12xlarge","768.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","1875.0 MB/s","$2109.6562 monthly"
"X8G Medium","x8g.medium","16.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","39.375 MB/s","$43.9533 monthly"
"X8G 16xlarge","x8g.16xlarge","1024.0 GiB","64 vCPUs","EBS only","30 Gigabit","2500.0 MB/s","$2812.8798 monthly"
"P4DE 24xlarge","p4de.24xlarge","1152.0 GiB","96 vCPUs","EBS only","400 Gigabit","0 MB/s","$18410.1423 monthly"
"X8G Double Extra Large","x8g.2xlarge","128.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","312.5 MB/s","$351.6118 monthly"
"HPC7G Quadruple Extra Large","hpc7g.4xlarge","128.0 GiB","16 vCPUs","EBS only","200 Gigabit","10.875 MB/s","$967.6150 monthly"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","32 vCPUs","EBS only","High","0 MB/s","unavailable"
"X8G Metal-48xl","x8g.metal-48xl","3072.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$8438.6321 monthly"
"G5G 16xlarge","g5g.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$1261.9510 monthly"
"G5G Double Extra Large","g5g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","296.875 MB/s","$255.7190 monthly"
"X8G Quadruple Extra Large","x8g.4xlarge","256.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","625.0 MB/s","$703.2163 monthly"
"MAC2-M1ULTRA Metal","mac2-m1ultra.metal","128.0 GiB","20 vCPUs","EBS only","10 Gigabit","1250.0 MB/s","unavailable"
"G5G Quadruple Extra Large","g5g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","593.75 MB/s","$380.7680 monthly"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","0 MB/s","unavailable"
"G5G Extra Large","g5g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","148.5 MB/s","$193.1580 monthly"
"VT1 6xlarge","vt1.6xlarge","48.0 GiB","24 vCPUs","EBS only","6.25 Gigabit","593.75 MB/s","$597.8700 monthly"
"U-24TB1 Metal","u-24tb1.metal","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","0 MB/s","unavailable"
"G5G Eight Extra Large","g5g.8xlarge","64.0 GiB","32 vCPUs","EBS only","12 Gigabit","1187.5 MB/s","$631.0120 monthly"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","16 vCPUs","EBS only","10 Gigabit","0 MB/s","unavailable"
"T1 Micro","t1.micro","0.613 GiB","1 vCPUs","EBS only","Very Low","0 MB/s","$10.2200 monthly"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","32 vCPUs","EBS only","10 Gigabit","0 MB/s","unavailable"
