"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"M6IDN Quadruple Extra Large","m6idn.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 50 Gigabit","12500 Mbps","1562.5 MB/s","50000 IOPS","25000 Mbps","1562.5 MB/s","100000 IOPS","$929.2608 monthly","$585.4308 monthly","$470.9960 monthly"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","4 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","850 Mbps","106.25 MB/s","6000 IOPS","850 Mbps","106.25 MB/s","6000 IOPS","$227.7600 monthly","$156.2200 monthly","$85.3370 monthly"
"R7GD Quadruple Extra Large","r7gd.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$794.6780 monthly","$499.4660 monthly","$374.4170 monthly"
"X2IEDN Eight Extra Large","x2iedn.8xlarge","1024.0 GiB","32 vCPUs","950 GB                 NVMe SSD","25 Gigabit","20000 Mbps","2500.0 MB/s","65000 IOPS","20000 Mbps","2500.0 MB/s","65000 IOPS","$4868.3700 monthly","$2995.5112 monthly","$1202.0910 monthly"
"C6GD Quadruple Extra Large","c6gd.4xlarge","32.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$448.5120 monthly","$282.5830 monthly","$130.0860 monthly"
"M7GD Quadruple Extra Large","m7gd.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$623.6390 monthly","$392.8860 monthly","$239.7320 monthly"
"X2GD Quadruple Extra Large","x2gd.4xlarge","256.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$975.2800 monthly","$601.0090 monthly","$252.5800 monthly"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","16 vCPUs","940 GB                 NVMe SSD","Up to 10 Gigabit","3500 Mbps","437.5 MB/s","44000 IOPS","3500 Mbps","437.5 MB/s","44000 IOPS","$2409.0000 monthly","$1628.6300 monthly","$466.6160 monthly"
"I4I Extra Large","i4i.xlarge","32.0 GiB","4 vCPUs","937 GB                 NVMe SSD","Up to 10 Gigabit","1250 Mbps","156.25 MB/s","5000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$250.3900 monthly","$162.7900 monthly","$92.3450 monthly"
"IM4GN Large","im4gn.large","8.0 GiB","2 vCPUs","937 GB                 NVMe SSD","Up to 25 Gigabit","1250 Mbps","156.25 MB/s","5000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$132.7870 monthly","$85.1545 monthly","$26.6450 monthly"
"I4G Extra Large","i4g.xlarge","32.0 GiB","4 vCPUs","937 GB                 NVMe SSD","Up to 10 Gigabit","1250 Mbps","156.25 MB/s","5000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$225.4824 monthly","$146.3285 monthly","$65.9190 monthly"
"IS4GEN Medium","is4gen.medium","6.0 GiB","1 vCPUs","937 GB                 NVMe SSD","Up to 25 Gigabit","625 Mbps","78.125 MB/s","2500 IOPS","10000 Mbps","78.125 MB/s","40000 IOPS","$105.1784 monthly","$71.7298 monthly","$11.7530 monthly"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","36 vCPUs","900 GB                 NVMe SSD","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1261.4400 monthly","$794.9700 monthly","$443.4020 monthly"
"G5 Graphics and Machine Learning GPU Eight Extra Large","g5.8xlarge","128.0 GiB","32 vCPUs","900 GB                 NVMe SSD","25 Gigabit","16000 Mbps","2000.0 MB/s","65000 IOPS","16000 Mbps","2000.0 MB/s","65000 IOPS","$1787.0400 monthly","$1125.8352 monthly","$649.3350 monthly"
"G6E Eight Extra Large","g6e.8xlarge","256.0 GiB","32 vCPUs","900 GB                 (2 * 450 GB NVMe SSD)","25 Gigabit","16000 Mbps","2000.0 MB/s","64000 IOPS","16000 Mbps","2000.0 MB/s","64000 IOPS","$3305.8488 monthly","$2082.6827 monthly","$932.6480 monthly"
"G4DN Eight Extra Large","g4dn.8xlarge","128.0 GiB","32 vCPUs","900 GB                 NVMe SSD","50 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1588.4800 monthly","$1000.8300 monthly","$536.1120 monthly"
"G4DN 12xlarge","g4dn.12xlarge","192.0 GiB","48 vCPUs","900 GB                 NVMe SSD","50 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$2855.7600 monthly","$1799.4500 monthly","$1129.1640 monthly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","24 vCPUs","900 GB                 NVMe SSD","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1629.3600 monthly","$1026.3800 monthly","$550.8580 monthly"
"Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large","gr6.8xlarge","256.0 GiB","32 vCPUs","900 GB                 (2 * 450 GB NVMe SSD)","25 Gigabit","16000 Mbps","2000.0 MB/s","64000 IOPS","16000 Mbps","2000.0 MB/s","64000 IOPS","$1785.8720 monthly","$1162.6053 monthly","$600.2790 monthly"
"G4DN 16xlarge","g4dn.16xlarge","256.0 GiB","64 vCPUs","900 GB                 NVMe SSD","50 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$3176.9600 monthly","$2001.6600 monthly","$838.4050 monthly"
"G6 Graphics and Machine Learning GPU Eight Extra Large","g6.8xlarge","128.0 GiB","32 vCPUs","900 GB                 (2 * 450 GB NVMe SSD)","25 Gigabit","16000 Mbps","2000.0 MB/s","64000 IOPS","16000 Mbps","2000.0 MB/s","64000 IOPS","$1470.5120 monthly","$957.3001 monthly","$493.6260 monthly"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","4 vCPUs","850 GB                 HDD","Moderate","500 Mbps","62.5 MB/s","4000 IOPS","500 Mbps","62.5 MB/s","4000 IOPS","$357.7000 monthly","$162.0600 monthly","$103.1490 monthly"
"M1 General Purpose Large","m1.large","7.5 GiB","2 vCPUs","840 GB                 (2 * 420 GB HDD)","Moderate","500 Mbps","62.5 MB/s","4000 IOPS","500 Mbps","62.5 MB/s","4000 IOPS","$127.7500 monthly","$81.7600 monthly","$26.0610 monthly"
"I2 Extra Large","i2.xlarge","30.5 GiB","4 vCPUs","800 GB                 SSD","Moderate","500 Mbps","62.5 MB/s","4000 IOPS","500 Mbps","62.5 MB/s","4000 IOPS","$622.6900 monthly","$309.5200 monthly","$72.8540 monthly"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","32 vCPUs","640 GB                 (2 * 320 GB SSD)","10 Gigabit","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$1941.8000 monthly","$1220.5600 monthly","$640.8670 monthly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","32 vCPUs","640 GB                 (2 * 320 GB SSD)","10 Gigabit","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$1226.4000 monthly","$852.6400 monthly","$249.4410 monthly"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","2880 Mbps","360.0 MB/s","16000 IOPS","2880 Mbps","360.0 MB/s","16000 IOPS","$765.0400 monthly","$481.8000 monthly","$293.4600 monthly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","18750 IOPS","4750 Mbps","593.75 MB/s","18750 IOPS","$840.9600 monthly","$529.9800 monthly","$359.5980 monthly"
"C5AD Quadruple Extra Large","c5ad.4xlarge","32.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","1580 Mbps","197.5 MB/s","6600 IOPS","3170 Mbps","197.5 MB/s","13300 IOPS","$502.2400 monthly","$316.0900 monthly","$194.5450 monthly"
"G5 Graphics and Machine Learning GPU Quadruple Extra Large","g5.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 25 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$1185.5200 monthly","$746.8776 monthly","$380.9140 monthly"
"G6 Graphics and Machine Learning GPU Quadruple Extra Large","g6.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 25 Gigabit","8000 Mbps","1000.0 MB/s","32000 IOPS","8000 Mbps","1000.0 MB/s","32000 IOPS","$965.9360 monthly","$628.8220 monthly","$273.3850 monthly"
"M5DN Quadruple Extra Large","m5dn.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 25 Gigabit","4750 Mbps","593.75 MB/s","18750 IOPS","4750 Mbps","593.75 MB/s","18750 IOPS","$794.2400 monthly","$500.0500 monthly","$355.2910 monthly"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","18750 IOPS","4750 Mbps","593.75 MB/s","18750 IOPS","$659.9200 monthly","$416.1000 monthly","$240.0970 monthly"
"G6E Quadruple Extra Large","g6e.4xlarge","128.0 GiB","16 vCPUs","600 GB                 NVMe SSD","20 Gigabit","8000 Mbps","1000.0 MB/s","32000 IOPS","8000 Mbps","1000.0 MB/s","32000 IOPS","$2193.0952 monthly","$1381.6491 monthly","$710.6550 monthly"
"M5AD Quadruple Extra Large","m5ad.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","2880 Mbps","360.0 MB/s","16000 IOPS","2880 Mbps","360.0 MB/s","16000 IOPS","$601.5200 monthly","$378.8700 monthly","$313.7540 monthly"
"R5DN Quadruple Extra Large","r5dn.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 25 Gigabit","4750 Mbps","593.75 MB/s","18750 IOPS","4750 Mbps","593.75 MB/s","18750 IOPS","$975.2800 monthly","$614.6600 monthly","$342.1510 monthly"
"Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large","gr6.4xlarge","128.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 25 Gigabit","8000 Mbps","1000.0 MB/s","32000 IOPS","8000 Mbps","1000.0 MB/s","32000 IOPS","$1123.6160 monthly","$731.4746 monthly","$349.3780 monthly"
"G4AD Quadruple Extra Large","g4ad.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 10 Gigabit","1580 Mbps","197.5 MB/s","6700 IOPS","3170 Mbps","197.5 MB/s","13333 IOPS","$632.9100 monthly","$398.7333 monthly","$268.7860 monthly"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","16 vCPUs","480 GB                 SSD","Up to 10 Gigabit","1750 Mbps","218.75 MB/s","10000 IOPS","1750 Mbps","218.75 MB/s","10000 IOPS","$2435.2800 monthly","$1500.8800 monthly","$655.6860 monthly"
"X2IEDN Quadruple Extra Large","x2iedn.4xlarge","512.0 GiB","16 vCPUs","475 GB                 NVMe SSD","Up to 25 Gigabit","10000 Mbps","1250.0 MB/s","32500 IOPS","20000 Mbps","1250.0 MB/s","65000 IOPS","$2434.1850 monthly","$1497.7556 monthly","$632.0340 monthly"
"X2GD Double Extra Large","x2gd.2xlarge","128.0 GiB","8 vCPUs","475 GB                 NVMe SSD","Up to 10 Gigabit","2375 Mbps","296.875 MB/s","12000 IOPS","4750 Mbps","296.875 MB/s","20000 IOPS","$487.6400 monthly","$300.5410 monthly","$84.8990 monthly"
"I3 High I/O Large","i3.large","15.25 GiB","2 vCPUs","475 GB                 NVMe SSD","Up to 10 Gigabit","425 Mbps","53.125 MB/s","3000 IOPS","425 Mbps","53.125 MB/s","3000 IOPS","$113.8800 monthly","$78.1100 monthly","$15.6950 monthly"
"M6ID Double Extra Large","m6id.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$346.4580 monthly","$218.2700 monthly","$104.7550 monthly"
"R6ID Double Extra Large","r6id.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$441.5040 monthly","$277.4730 monthly","$168.9950 monthly"
"C6ID Double Extra Large","c6id.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$294.3360 monthly","$185.4930 monthly","$108.4050 monthly"
"M6IDN Double Extra Large","m6idn.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 40 Gigabit","6250 Mbps","781.25 MB/s","25000 IOPS","25000 Mbps","781.25 MB/s","100000 IOPS","$464.6304 monthly","$292.7154 monthly","$183.7410 monthly"
"M7GD Double Extra Large","m7gd.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$311.7830 monthly","$196.4430 monthly","$78.6940 monthly"
"C7GD Double Extra Large","c7gd.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$264.9170 monthly","$166.9510 monthly","$77.3800 monthly"
"R7GD Double Extra Large","r7gd.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$397.3390 monthly","$249.7330 monthly","$134.8310 monthly"
"R6GD Double Extra Large","r6gd.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","2375 Mbps","296.875 MB/s","12000 IOPS","4750 Mbps","296.875 MB/s","20000 IOPS","$336.3840 monthly","$211.9190 monthly","$123.0780 monthly"
"M6GD Double Extra Large","m6gd.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","2375 Mbps","296.875 MB/s","12000 IOPS","4750 Mbps","296.875 MB/s","20000 IOPS","$263.9680 monthly","$166.2940 monthly","$98.4040 monthly"
"C6GD Double Extra Large","c6gd.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","2375 Mbps","296.875 MB/s","12000 IOPS","4750 Mbps","296.875 MB/s","20000 IOPS","$224.2560 monthly","$141.2550 monthly","$28.0320 monthly"
"R6IDN Double Extra Large","r6idn.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 40 Gigabit","6250 Mbps","781.25 MB/s","25000 IOPS","25000 Mbps","781.25 MB/s","100000 IOPS","$570.5388 monthly","$359.4374 monthly","$267.4720 monthly"
"TRN1 Double Extra Large","trn1.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","16250 IOPS","20000 Mbps","625.0 MB/s","65000 IOPS","$980.9375 monthly","$603.5713 monthly","$120.5960 monthly"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","8 vCPUs","470 GB                 NVMe SSD","Up to 10 Gigabit","1700 Mbps","212.5 MB/s","12000 IOPS","1700 Mbps","212.5 MB/s","12000 IOPS","$1204.5000 monthly","$814.6800 monthly","$248.7110 monthly"
"I4G Large","i4g.large","16.0 GiB","2 vCPUs","468 GB                 NVMe SSD","Up to 10 Gigabit","625 Mbps","78.125 MB/s","2500 IOPS","10000 Mbps","78.125 MB/s","40000 IOPS","$112.7412 monthly","$73.1606 monthly","$25.6230 monthly"
"I4I Large","i4i.large","16.0 GiB","2 vCPUs","468 GB                 NVMe SSD","Up to 10 Gigabit","625 Mbps","78.125 MB/s","2500 IOPS","10000 Mbps","78.125 MB/s","40000 IOPS","$125.5600 monthly","$81.0300 monthly","$34.2370 monthly"
"G6E Double Extra Large","g6e.2xlarge","64.0 GiB","8 vCPUs","450 GB                 NVMe SSD","Up to 20 Gigabit","2000 Mbps","250.0 MB/s","8000 IOPS","5000 Mbps","250.0 MB/s","20000 IOPS","$1636.7184 monthly","$1031.1323 monthly","$386.8270 monthly"
"Z1D 3xlarge","z1d.3xlarge","96.0 GiB","12 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$814.6800 monthly","$513.1900 monthly","$235.4980 monthly"
"G6 Graphics and Machine Learning GPU Double Extra Large","g6.2xlarge","32.0 GiB","8 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","2000 Mbps","250.0 MB/s","8000 IOPS","5000 Mbps","250.0 MB/s","20000 IOPS","$713.6480 monthly","$464.5866 monthly","$233.3080 monthly"
"G5 Graphics and Machine Learning GPU Double Extra Large","g5.2xlarge","32.0 GiB","8 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","850 Mbps","106.25 MB/s","3500 IOPS","3500 Mbps","106.25 MB/s","15000 IOPS","$884.7600 monthly","$557.3988 monthly","$321.5650 monthly"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","2 vCPUs","420 GB                 HDD","Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$178.8500 monthly","$81.0300 monthly","$52.1220 monthly"
"M1 General Purpose Medium","m1.medium","3.75 GiB","1 vCPUs","410 GB                 HDD","Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$63.5100 monthly","$40.8800 monthly","$16.6440 monthly"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","16 vCPUs","400 GB                 NVMe SSD","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$560.6400 monthly","$353.3200 monthly","$236.8850 monthly"
"C1 High-CPU Medium","c1.medium","1.7 GiB","2 vCPUs","350 GB                 HDD","Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$94.9000 monthly","$66.4300 monthly","$14.0160 monthly"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","16 vCPUs","320 GB                 SSD","High","2000 Mbps","250.0 MB/s","16000 IOPS","2000 Mbps","250.0 MB/s","16000 IOPS","$970.9000 monthly","$610.2800 monthly","$328.3540 monthly"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","16 vCPUs","320 GB                 (2 * 160 GB SSD)","High","2000 Mbps","250.0 MB/s","16000 IOPS","2000 Mbps","250.0 MB/s","16000 IOPS","$613.2000 monthly","$426.3200 monthly","$156.3660 monthly"
"M5 General Purpose Double Extra Large","m5d.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","2300 Mbps","287.5 MB/s","12000 IOPS","4750 Mbps","287.5 MB/s","18750 IOPS","$329.9600 monthly","$208.0500 monthly","$172.7180 monthly"
"Z1D Double Extra Large","z1d.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","3170 Mbps","396.25 MB/s","13333 IOPS","3170 Mbps","396.25 MB/s","13333 IOPS","$543.1200 monthly","$342.3700 monthly","$181.9890 monthly"
"R5AD Double Extra Large","r5ad.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","1580 Mbps","197.5 MB/s","8333 IOPS","2880 Mbps","197.5 MB/s","16000 IOPS","$382.5200 monthly","$240.9000 monthly","$192.2090 monthly"
"M5DN Double Extra Large","m5dn.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 25 Gigabit","2300 Mbps","287.5 MB/s","12000 IOPS","4750 Mbps","287.5 MB/s","18750 IOPS","$397.1200 monthly","$250.3900 monthly","$178.6310 monthly"
"C5AD Double Extra Large","c5ad.2xlarge","16.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","800 Mbps","100.0 MB/s","3200 IOPS","3170 Mbps","100.0 MB/s","13300 IOPS","$251.1200 monthly","$158.4100 monthly","$101.5430 monthly"
"M5AD Double Extra Large","m5ad.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","1580 Mbps","197.5 MB/s","8333 IOPS","2880 Mbps","197.5 MB/s","16000 IOPS","$300.7600 monthly","$189.8000 monthly","$183.5220 monthly"
"R5DN Double Extra Large","r5dn.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 25 Gigabit","2300 Mbps","287.5 MB/s","12000 IOPS","4750 Mbps","287.5 MB/s","18750 IOPS","$487.6400 monthly","$307.3300 monthly","$196.4430 monthly"
"R5D Double Extra Large","r5d.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","2300 Mbps","287.5 MB/s","12000 IOPS","4750 Mbps","287.5 MB/s","18750 IOPS","$420.4800 monthly","$264.9900 monthly","$201.5530 monthly"
"G4AD Double Extra Large","g4ad.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","800 Mbps","100.0 MB/s","3400 IOPS","3170 Mbps","100.0 MB/s","13333 IOPS","$395.0541 monthly","$248.8862 monthly","$164.3960 monthly"
"G6 Graphics and Machine Learning GPU Extra Large","g6.xlarge","16.0 GiB","4 vCPUs","250 GB                 NVMe SSD","Up to 10 Gigabit","1000 Mbps","125.0 MB/s","4000 IOPS","5000 Mbps","125.0 MB/s","20000 IOPS","$587.5040 monthly","$382.4616 monthly","$212.7220 monthly"
"G6E Extra Large","g6e.xlarge","32.0 GiB","4 vCPUs","250 GB                 NVMe SSD","Up to 20 Gigabit","1000 Mbps","125.0 MB/s","4000 IOPS","5000 Mbps","125.0 MB/s","20000 IOPS","$1358.5300 monthly","$855.8739 monthly","$462.4550 monthly"
"G5 Graphics and Machine Learning GPU Extra Large","g5.xlarge","16.0 GiB","4 vCPUs","250 GB                 NVMe SSD","Up to 10 Gigabit","700 Mbps","87.5 MB/s","3000 IOPS","3500 Mbps","87.5 MB/s","15000 IOPS","$734.3800 monthly","$462.6594 monthly","$264.8440 monthly"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","8 vCPUs","240 GB                 SSD","Up to 10 Gigabit","1000 Mbps","125.0 MB/s","7400 IOPS","1000 Mbps","125.0 MB/s","7400 IOPS","$1217.6400 monthly","$750.4400 monthly","$169.8710 monthly"
"M6GD Extra Large","m6gd.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","1188 Mbps","148.5 MB/s","6000 IOPS","4750 Mbps","148.5 MB/s","20000 IOPS","$131.9840 monthly","$83.1470 monthly","$50.7350 monthly"
"M6ID Extra Large","m6id.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$173.2290 monthly","$109.1350 monthly","$45.3330 monthly"
"M6IDN Extra Large","m6idn.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 30 Gigabit","3125 Mbps","390.625 MB/s","12500 IOPS","25000 Mbps","390.625 MB/s","100000 IOPS","$232.3152 monthly","$146.3577 monthly","$84.7530 monthly"
"C7GD Extra Large","c7gd.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","1250 Mbps","156.25039999999998 MB/s","6000 IOPS","10000 Mbps","156.25039999999998 MB/s","40000 IOPS","$132.4220 monthly","$83.4390 monthly","$36.8650 monthly"
"X2IEDN Double Extra Large","x2iedn.2xlarge","256.0 GiB","8 vCPUs","237 GB                 NVMe SSD","Up to 25 Gigabit","5000 Mbps","625.0 MB/s","16250 IOPS","20000 Mbps","625.0 MB/s","65000 IOPS","$1217.0925 monthly","$748.8778 monthly","$279.8820 monthly"
"C6ID Extra Large","c6id.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$147.1680 monthly","$92.7465 monthly","$50.5890 monthly"
"R6ID Extra Large","r6id.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$220.7520 monthly","$138.7365 monthly","$98.6230 monthly"
"C6GD Extra Large","c6gd.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","1188 Mbps","148.5 MB/s","6000 IOPS","4750 Mbps","148.5 MB/s","20000 IOPS","$112.1280 monthly","$70.6640 monthly","$38.5440 monthly"
"R7GD Extra Large","r7gd.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","1250 Mbps","156.25039999999998 MB/s","6000 IOPS","10000 Mbps","156.25039999999998 MB/s","40000 IOPS","$198.7060 monthly","$124.8300 monthly","$73.4380 monthly"
"M7GD Extra Large","m7gd.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","1250 Mbps","156.25039999999998 MB/s","6000 IOPS","10000 Mbps","156.25039999999998 MB/s","40000 IOPS","$155.9280 monthly","$98.1850 monthly","$50.7350 monthly"
"R6GD Extra Large","r6gd.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","1188 Mbps","148.5 MB/s","6000 IOPS","4750 Mbps","148.5 MB/s","20000 IOPS","$168.1920 monthly","$105.9960 monthly","$71.3940 monthly"
"R6IDN Extra Large","r6idn.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 30 Gigabit","3125 Mbps","390.625 MB/s","12500 IOPS","25000 Mbps","390.625 MB/s","100000 IOPS","$285.2694 monthly","$179.7187 monthly","$107.6750 monthly"
"X2GD Extra Large","x2gd.xlarge","64.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","1188 Mbps","148.5 MB/s","6000 IOPS","4750 Mbps","148.5 MB/s","20000 IOPS","$243.8200 monthly","$150.2340 monthly","$70.2260 monthly"
