"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"M7A Quadruple Extra Large","m7a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$676.9728 monthly","$447.8185 monthly","$284.9190 monthly"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","695 Mbps","86.875 MB/s","4000 IOPS","2780 Mbps","86.875 MB/s","15700 IOPS","$242.9440 monthly","$152.2780 monthly","$62.2690 monthly"
"R6G Quadruple Extra Large","r6g.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$588.6720 monthly","$370.8400 monthly","$176.0760 monthly"
"M6A Extra Large","m6a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$126.1440 monthly","$83.4463 monthly","$39.3470 monthly"
"C6IN 24xlarge","c6in.24xlarge","192.0 GiB","96 vCPUs","EBS only","150 Gigabit","75000 Mbps","9375.0 MB/s","300000 IOPS","75000 Mbps","9375.0 MB/s","300000 IOPS","$3973.5360 monthly","$2503.3306 monthly","$1188.2210 monthly"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1489.2000 monthly","$938.0500 monthly","$516.1830 monthly"
"M5N Metal","m5n.metal","384.0 GiB","96 vCPUs","EBS only","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$4169.7600 monthly","$2627.2700 monthly","$764.7480 monthly"
"M7I Metal-24xl","m7i.metal-24xl","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$3532.0320 monthly","$2336.4380 monthly","$471.5800 monthly"
"C7I-FLEX Eight Extra Large","c7i-flex.8xlarge","64.0 GiB","32 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$990.3180 monthly","$655.0947 monthly","$221.6280 monthly"
"M7I 24xlarge","m7i.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$3532.0320 monthly","$2336.4380 monthly","$866.8020 monthly"
