Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
R5D Large,r5d.large,16.0 GiB,2 vCPUs,75 GB                 NVMe SSD,Up to 10 Gigabit,$0.1520 hourly,$0.0960 hourly,$0.0422 hourly,$0.2440 hourly,$0.1880 hourly,650.00,4750.00,81.25,593.75,3600.00,18750.00
C7G Extra Large,c7g.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1547 hourly,$0.1023 hourly,$0.0487 hourly,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
R5B Large,r5b.large,16.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.1579 hourly,$0.0995 hourly,$0.0435 hourly,$0.2499 hourly,$0.1915 hourly,1250.00,10000.00,156.25,1250.00,5417.00,43333.00
R5N Large,r5n.large,16.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1590 hourly,$0.1000 hourly,$0.0426 hourly,$0.2510 hourly,$0.1920 hourly,650.00,4750.00,81.25,593.75,3600.00,18750.00
R7A Large,r7a.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1618 hourly,$0.1070 hourly,$0.0423 hourly,$0.2538 hourly,$0.1990 hourly,650.00,10000.00,81.25,1250.00,3600.00,40000.00
I3 High I/O Large,i3.large,15.25 GiB,2 vCPUs,475 GB                 NVMe SSD,Up to 10 Gigabit,$0.1630 hourly,$0.1110 hourly,$0.0446 hourly,$0.2550 hourly,$0.2030 hourly
C5A Extra Large,c5a.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.1640 hourly,$0.1030 hourly,$0.0481 hourly,$0.3480 hourly,$0.2870 hourly,400.00,3170.00,50.00,396.25,1600.00,13300.00
M6G Extra Large,m6g.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.1640 hourly,$0.1029 hourly,$0.0447 hourly,unavailable,unavailable,1188.00,4750.00,148.50,593.75,6000.00,20000.00
M6IDN Large,m6idn.large,8.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 25 Gigabit,$0.1660 hourly,$0.1042 hourly,$0.0438 hourly,$0.2580 hourly,$0.1962 hourly,1562.00,25000.00,195.31,3125.00,6250.00,100000.00
C6GD Extra Large,c6gd.xlarge,8.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 10 Gigabit,$0.1664 hourly,$0.1048 hourly,$0.0509 hourly,unavailable,unavailable,1188.00,4750.00,148.50,593.75,6000.00,20000.00
