Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
G4DN Quadruple Extra Large,g4dn.4xlarge,64.0 GiB,16 vCPUs,225 GB                 NVMe SSD,Up to 25 Gigabit,$1.2770 hourly,$0.8050 hourly,$0.3362 hourly,$2.0130 hourly,$1.5410 hourly
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,32.0 GiB,8 vCPUs,450 GB                 NVMe SSD,Up to 10 Gigabit,$1.2855 hourly,$0.8099 hourly,$0.4031 hourly,$1.6535 hourly,$1.1779 hourly,850.00,3500.00,106.25,437.50,3500.00,15000.00
R7A Quadruple Extra Large,r7a.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$1.2944 hourly,$0.8562 hourly,$0.3754 hourly,$2.0304 hourly,$1.5922 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
I3 High I/O Quadruple Extra Large,i3.4xlarge,122.0 GiB,16 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),Up to 10 Gigabit,$1.3040 hourly,$0.8920 hourly,$0.3486 hourly,$2.0400 hourly,$1.6280 hourly
C5A Eight Extra Large,c5a.8xlarge,64.0 GiB,32 vCPUs,EBS only,10 Gigabit,$1.3120 hourly,$0.8270 hourly,$0.3875 hourly,$2.7840 hourly,$2.2990 hourly
M6G Eight Extra Large,m6g.8xlarge,128.0 GiB,32 vCPUs,EBS only,12 Gigabit,$1.3120 hourly,$0.8233 hourly,$0.3665 hourly,unavailable,unavailable
M6IDN Quadruple Extra Large,m6idn.4xlarge,64.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 50 Gigabit,$1.3280 hourly,$0.8338 hourly,$0.4461 hourly,$2.0640 hourly,$1.5698 hourly,12500.00,25000.00,1562.50,3125.00,50000.00,100000.00
C6GD Eight Extra Large,c6gd.8xlarge,64.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,12 Gigabit,$1.3312 hourly,$0.8387 hourly,$0.3564 hourly,unavailable,unavailable
M7G Eight Extra Large,m7g.8xlarge,128.0 GiB,32 vCPUs,EBS only,15 Gigabit,$1.3872 hourly,$0.9176 hourly,$0.4027 hourly,unavailable,unavailable
D2 Double Extra Large,d2.2xlarge,61.0 GiB,8 vCPUs,12288 GB                 (6 * 2048 GB HDD),High,$1.3960 hourly,$0.7620 hourly,$0.3754 hourly,$1.7640 hourly,$1.1300 hourly
G6 Graphics and Machine Learning GPU Quadruple Extra Large,g6.4xlarge,64.0 GiB,16 vCPUs,600 GB                 NVMe SSD,Up to 25 Gigabit,$1.4034 hourly,$0.9136 hourly,$0.1553 hourly,$2.1394 hourly,$1.6496 hourly
R5DN Quadruple Extra Large,r5dn.4xlarge,128.0 GiB,16 vCPUs,600 GB                 (2 * 300 GB NVMe SSD),Up to 25 Gigabit,$1.4160 hourly,$0.8921 hourly,$0.3921 hourly,$2.1520 hourly,$1.6281 hourly
I3EN 3xlarge,i3en.3xlarge,96.0 GiB,12 vCPUs,7500 GB                 NVMe SSD,Up to 25 Gigabit,$1.4220 hourly,$0.9720 hourly,$0.3707 hourly,$1.9740 hourly,$1.5240 hourly,3800.00,4750.00,475.00,593.75,15000.00,20000.00
I4I Quadruple Extra Large,i4i.4xlarge,128.0 GiB,16 vCPUs,3750 GB                 NVMe SSD,Up to 25 Gigabit,$1.4340 hourly,$0.9350 hourly,$0.4009 hourly,$2.1700 hourly,$1.6710 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
C7I-FLEX Eight Extra Large,c7i-flex.8xlarge,64.0 GiB,32 vCPUs,EBS only,Up to 12.5 Gigabit,$1.4524 hourly,$0.9607 hourly,$0.4393 hourly,$2.8508 hourly,$2.3591 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
C6I Eight Extra Large,c6i.8xlarge,64.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.4560 hourly,$0.9631 hourly,$0.4025 hourly,$2.9280 hourly,$2.4351 hourly
C6GN Eight Extra Large,c6gn.8xlarge,64.0 GiB,32 vCPUs,EBS only,50 Gigabit,$1.4880 hourly,$0.9409 hourly,$0.4066 hourly,unavailable,unavailable
R6IN Quadruple Extra Large,r6in.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,$1.4882 hourly,$0.9335 hourly,$0.4301 hourly,$2.2242 hourly,$1.6695 hourly,12500.00,25000.00,1562.50,3125.00,50000.00,100000.00
C7I Eight Extra Large,c7i.8xlarge,64.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.5288 hourly,$1.0113 hourly,$0.4169 hourly,$3.0008 hourly,$2.4833 hourly
M6GD Eight Extra Large,m6gd.8xlarge,128.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,12 Gigabit,$1.5360 hourly,$0.9744 hourly,$0.4294 hourly,unavailable,unavailable
C7GD Eight Extra Large,c7gd.8xlarge,64.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,15 Gigabit,$1.5725 hourly,$0.9907 hourly,$0.4404 hourly,unavailable,unavailable
M7I-FLEX Eight Extra Large,m7i-flex.8xlarge,128.0 GiB,32 vCPUs,EBS only,Up to 12.5 Gigabit,$1.6280 hourly,$1.0769 hourly,$0.4595 hourly,$3.0264 hourly,$2.4753 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
M6I Eight Extra Large,m6i.8xlarge,128.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.6320 hourly,$1.0796 hourly,$0.4684 hourly,$3.1040 hourly,$2.5516 hourly
M5 General Purpose Eight Extra Large,m5.8xlarge,128.0 GiB,32 vCPUs,EBS only,10 Gigabit,$1.6320 hourly,$1.0280 hourly,$0.4467 hourly,$3.1040 hourly,$2.5000 hourly
Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large,gr6.4xlarge,128.0 GiB,16 vCPUs,600 GB                 NVMe SSD,Up to 25 Gigabit,$1.6326 hourly,$1.0628 hourly,$0.1769 hourly,$2.3686 hourly,$1.7988 hourly
C5 High-CPU 9xlarge,c5.9xlarge,72.0 GiB,36 vCPUs,EBS only,12 Gigabit,$1.6380 hourly,$1.0320 hourly,$0.4730 hourly,$3.2940 hourly,$2.6880 hourly
R6IDN Quadruple Extra Large,r6idn.4xlarge,128.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 50 Gigabit,$1.6567 hourly,$1.0437 hourly,$0.4636 hourly,$2.3927 hourly,$1.7797 hourly,12500.00,25000.00,1562.50,3125.00,50000.00,100000.00
R6G Eight Extra Large,r6g.8xlarge,256.0 GiB,32 vCPUs,EBS only,12 Gigabit,$1.7120 hourly,$1.0751 hourly,$0.4683 hourly,unavailable,unavailable
M7I Eight Extra Large,m7i.8xlarge,128.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.7136 hourly,$1.1336 hourly,$0.4772 hourly,$3.1856 hourly,$2.6056 hourly
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,64.0 GiB,16 vCPUs,600 GB                 NVMe SSD,Up to 25 Gigabit,$1.7225 hourly,$1.0852 hourly,$0.4589 hourly,$2.4585 hourly,$1.8212 hourly
C6G 12xlarge,c6g.12xlarge,96.0 GiB,48 vCPUs,EBS only,20 Gigabit,$1.7520 hourly,$1.1087 hourly,$0.4861 hourly,unavailable,unavailable
C7A Eight Extra Large,c7a.8xlarge,64.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.7581 hourly,$1.1630 hourly,$0.4882 hourly,$3.2301 hourly,$2.6350 hourly
M7GD Eight Extra Large,m7gd.8xlarge,128.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,15 Gigabit,$1.8144 hourly,$1.1431 hourly,$0.4956 hourly,unavailable,unavailable
R7G Eight Extra Large,r7g.8xlarge,256.0 GiB,32 vCPUs,EBS only,15 Gigabit,$1.8224 hourly,$1.1481 hourly,$0.5121 hourly,unavailable,unavailable
C7G 12xlarge,c7g.12xlarge,96.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,$1.8566 hourly,$1.2282 hourly,$0.5519 hourly,unavailable,unavailable
C5 High-CPU 9xlarge,c5d.9xlarge,72.0 GiB,36 vCPUs,900 GB                 NVMe SSD,12 Gigabit,$1.8720 hourly,$1.1790 hourly,$0.5056 hourly,$3.5280 hourly,$2.8350 hourly
X2IEDN Double Extra Large,x2iedn.2xlarge,256.0 GiB,8 vCPUs,237 GB                 NVMe SSD,Up to 25 Gigabit,$1.9014 hourly,$1.1700 hourly,$0.3598 hourly,$2.2694 hourly,$1.5379 hourly,5000.00,20000.00,625.00,2500.00,16250.00,65000.00
M5 General Purpose Eight Extra Large,m5d.8xlarge,128.0 GiB,32 vCPUs,1200 GB                 (2 * 600 GB NVMe SSD),10 Gigabit,$1.9200 hourly,$1.2100 hourly,$0.5485 hourly,$3.3920 hourly,$2.6820 hourly
R6GD Eight Extra Large,r6gd.8xlarge,256.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,12 Gigabit,$1.9456 hourly,$1.2257 hourly,$0.5510 hourly,unavailable,unavailable
C6IN Eight Extra Large,c6in.8xlarge,64.0 GiB,32 vCPUs,EBS only,50 Gigabit,$1.9488 hourly,$1.2277 hourly,$0.5391 hourly,$3.4208 hourly,$2.6997 hourly
C5A 12xlarge,c5a.12xlarge,96.0 GiB,48 vCPUs,EBS only,12 Gigabit,$1.9680 hourly,$1.2400 hourly,$0.5556 hourly,$4.1760 hourly,$3.4480 hourly
M6G 12xlarge,m6g.12xlarge,192.0 GiB,48 vCPUs,EBS only,20 Gigabit,$1.9680 hourly,$1.2349 hourly,$0.5283 hourly,unavailable,unavailable
M7A Eight Extra Large,m7a.8xlarge,128.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.9706 hourly,$1.3035 hourly,$0.5628 hourly,$3.4426 hourly,$2.7755 hourly
C6GD 12xlarge,c6gd.12xlarge,96.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),20 Gigabit,$1.9968 hourly,$1.2580 hourly,$0.5428 hourly,unavailable,unavailable
M7G 12xlarge,m7g.12xlarge,192.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,$2.0808 hourly,$1.3764 hourly,$0.5434 hourly,unavailable,unavailable
C5N 9xlarge,c5n.9xlarge,96.0 GiB,36 vCPUs,EBS only,50 Gigabit,$2.0880 hourly,$1.3150 hourly,$0.5657 hourly,$3.7440 hourly,$2.9710 hourly
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,128.0 GiB,32 vCPUs,900 GB                 (2 * 450 GB NVMe SSD),25 Gigabit,$2.1366 hourly,$1.3909 hourly,$0.2392 hourly,$3.6086 hourly,$2.8629 hourly
R5 Eight Extra Large,r5.8xlarge,256.0 GiB,32 vCPUs,EBS only,10 Gigabit,$2.1440 hourly,$1.3510 hourly,$0.5793 hourly,$3.6160 hourly,$2.8230 hourly
R6I Eight Extra Large,r6i.8xlarge,256.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,$2.1440 hourly,$1.3507 hourly,$0.5659 hourly,$3.6160 hourly,$2.8227 hourly
INF2 Eight Extra Large,inf2.8xlarge,128.0 GiB,32 vCPUs,EBS only,Up to 25 Gigabit,$2.1646 hourly,$1.3637 hourly,$0.5806 hourly,unavailable,unavailable
C6I 12xlarge,c6i.12xlarge,96.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.1840 hourly,$1.4447 hourly,$0.6078 hourly,$4.3920 hourly,$3.6527 hourly
C5 High-CPU 12xlarge,c5.12xlarge,96.0 GiB,48 vCPUs,EBS only,12 Gigabit,$2.1840 hourly,$1.3760 hourly,$0.5740 hourly,$4.3920 hourly,$3.5840 hourly
C6GN 12xlarge,c6gn.12xlarge,96.0 GiB,48 vCPUs,EBS only,75 Gigabit,$2.2320 hourly,$1.4113 hourly,$0.6163 hourly,unavailable,unavailable
R7I Eight Extra Large,r7i.8xlarge,256.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,$2.2512 hourly,$1.4892 hourly,$0.6389 hourly,$3.7232 hourly,$2.9612 hourly
C7I 12xlarge,c7i.12xlarge,96.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.2932 hourly,$1.5170 hourly,$0.6301 hourly,$4.5012 hourly,$3.7250 hourly
R7GD Eight Extra Large,r7gd.8xlarge,256.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,15 Gigabit,$2.2982 hourly,$1.4479 hourly,$0.6147 hourly,unavailable,unavailable
M6GD 12xlarge,m6gd.12xlarge,192.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),20 Gigabit,$2.3040 hourly,$1.4616 hourly,$0.6077 hourly,unavailable,unavailable
G4DN Eight Extra Large,g4dn.8xlarge,128.0 GiB,32 vCPUs,900 GB                 NVMe SSD,50 Gigabit,$2.3080 hourly,$1.4540 hourly,$0.6489 hourly,$3.7800 hourly,$2.9260 hourly
C6G 16xlarge,c6g.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,$2.3360 hourly,$1.4783 hourly,$0.6325 hourly,unavailable,unavailable
C6G Metal,c6g.metal,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,$2.3360 hourly,$1.4783 hourly,$0.6159 hourly,unavailable,unavailable
C7GD 12xlarge,c7gd.12xlarge,96.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),22.5 Gigabit,$2.3587 hourly,$1.4860 hourly,$0.6712 hourly,unavailable,unavailable
M6IN Eight Extra Large,m6in.8xlarge,128.0 GiB,32 vCPUs,EBS only,50 Gigabit,$2.3680 hourly,$1.4869 hourly,$0.6609 hourly,$3.8400 hourly,$2.9589 hourly
R5D Eight Extra Large,r5d.8xlarge,256.0 GiB,32 vCPUs,1200 GB                 (2 * 600 GB NVMe SSD),10 Gigabit,$2.4320 hourly,$1.5320 hourly,$0.6408 hourly,$3.9040 hourly,$3.0040 hourly
M5 General Purpose 12xlarge,m5.12xlarge,192.0 GiB,48 vCPUs,EBS only,12 Gigabit,$2.4480 hourly,$1.5420 hourly,$0.6804 hourly,$4.6560 hourly,$3.7500 hourly
M6I 12xlarge,m6i.12xlarge,192.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.4480 hourly,$1.6194 hourly,$0.6708 hourly,$4.6560 hourly,$3.8274 hourly
C7G 16xlarge,c7g.16xlarge,128.0 GiB,64 vCPUs,EBS only,30 Gigabit,$2.4755 hourly,$1.6376 hourly,$0.8120 hourly,unavailable,unavailable
C7G Metal,c7g.metal,128.0 GiB,64 vCPUs,EBS only,30 Gigabit,$2.4755 hourly,$1.6376 hourly,$0.6821 hourly,unavailable,unavailable
C5 High-CPU 12xlarge,c5d.12xlarge,96.0 GiB,48 vCPUs,1800 GB                 (2 * 900 GB NVMe SSD),12 Gigabit,$2.4960 hourly,$1.5720 hourly,$0.6340 hourly,$4.7040 hourly,$3.7800 hourly
R5B Eight Extra Large,r5b.8xlarge,256.0 GiB,32 vCPUs,EBS only,10 Gigabit,$2.5270 hourly,$1.5920 hourly,$0.7030 hourly,$3.9990 hourly,$3.0640 hourly
R5N Eight Extra Large,r5n.8xlarge,256.0 GiB,32 vCPUs,EBS only,25 Gigabit,$2.5440 hourly,$1.5960 hourly,$0.6740 hourly,$4.0160 hourly,$3.0680 hourly
R6G 12xlarge,r6g.12xlarge,384.0 GiB,48 vCPUs,EBS only,20 Gigabit,$2.5680 hourly,$1.6127 hourly,$0.6936 hourly,unavailable,unavailable
M7I 12xlarge,m7i.12xlarge,192.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.5704 hourly,$1.7003 hourly,$0.7837 hourly,$4.7784 hourly,$3.9083 hourly
R7A Eight Extra Large,r7a.8xlarge,256.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,$2.5888 hourly,$1.7125 hourly,$0.7385 hourly,$4.0608 hourly,$3.1845 hourly
Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large,gr6.8xlarge,256.0 GiB,32 vCPUs,900 GB                 (2 * 450 GB NVMe SSD),25 Gigabit,$2.5949 hourly,$1.6892 hourly,$0.2891 hourly,$4.0668 hourly,$3.1612 hourly
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,128.0 GiB,32 vCPUs,900 GB                 NVMe SSD,25 Gigabit,$2.5964 hourly,$1.6358 hourly,$0.7616 hourly,$4.0684 hourly,$3.1078 hourly
I3 High I/O Eight Extra Large,i3.8xlarge,244.0 GiB,32 vCPUs,7600 GB                 (4 * 1900 GB NVMe SSD),10 Gigabit,$2.6080 hourly,$1.7830 hourly,$0.6654 hourly,$4.0800 hourly,$3.2550 hourly
C5A 16xlarge,c5a.16xlarge,128.0 GiB,64 vCPUs,EBS only,20 Gigabit,$2.6240 hourly,$1.6530 hourly,$0.8039 hourly,$5.5680 hourly,$4.5970 hourly
M6G Metal,m6g.metal,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,$2.6240 hourly,$1.6465 hourly,$0.6660 hourly,unavailable,unavailable
M6G 16xlarge,m6g.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,$2.6240 hourly,$1.6465 hourly,$0.6906 hourly,unavailable,unavailable
C7A 12xlarge,c7a.12xlarge,96.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.6371 hourly,$1.7445 hourly,$0.8014 hourly,$4.8451 hourly,$3.9524 hourly
M6IDN Eight Extra Large,m6idn.8xlarge,128.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,50 Gigabit,$2.6560 hourly,$1.6677 hourly,$0.7384 hourly,$4.1280 hourly,$3.1397 hourly
C6GD 16xlarge,c6gd.16xlarge,128.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,$2.6624 hourly,$1.6773 hourly,$0.7195 hourly,unavailable,unavailable
C6GD Metal,c6gd.metal,128.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,$2.6624 hourly,$1.6773 hourly,$0.7432 hourly,unavailable,unavailable
M7GD 12xlarge,m7gd.12xlarge,192.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),22.5 Gigabit,$2.7216 hourly,$1.7146 hourly,$0.7542 hourly,unavailable,unavailable
R7G 12xlarge,r7g.12xlarge,384.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,$2.7336 hourly,$1.7222 hourly,$0.7045 hourly,unavailable,unavailable
M7G Metal,m7g.metal,256.0 GiB,64 vCPUs,EBS only,30 Gigabit,$2.7744 hourly,$1.8353 hourly,$0.7896 hourly,unavailable,unavailable
M7G 16xlarge,m7g.16xlarge,256.0 GiB,64 vCPUs,EBS only,30 Gigabit,$2.7744 hourly,$1.8353 hourly,$0.7349 hourly,unavailable,unavailable
D2 Quadruple Extra Large,d2.4xlarge,122.0 GiB,16 vCPUs,24576 GB                 (12 * 2048 GB HDD),High,$2.7920 hourly,$1.5240 hourly,$1.7529 hourly,$3.5280 hourly,$2.2600 hourly
R5DN Eight Extra Large,r5dn.8xlarge,256.0 GiB,32 vCPUs,1200 GB                 (2 * 600 GB NVMe SSD),25 Gigabit,$2.8320 hourly,$1.7842 hourly,$0.7374 hourly,$4.3040 hourly,$3.2562 hourly
I3EN 6xlarge,i3en.6xlarge,192.0 GiB,24 vCPUs,15000 GB                 (2 * 7500 GB NVMe SSD),25 Gigabit,$2.8440 hourly,$1.9430 hourly,$0.8078 hourly,$3.9480 hourly,$3.0470 hourly
I4I Eight Extra Large,i4i.8xlarge,256.0 GiB,32 vCPUs,7500 GB                 (2 * 3750 GB NVMe SSD),18.75 Gigabit,$2.8690 hourly,$1.8700 hourly,$0.7742 hourly,$4.3410 hourly,$3.3420 hourly
M5 General Purpose 12xlarge,m5d.12xlarge,192.0 GiB,48 vCPUs,1800 GB                 (2 * 900 GB NVMe SSD),12 Gigabit,$2.8800 hourly,$1.8140 hourly,$0.8415 hourly,$5.0880 hourly,$4.0220 hourly
C6I 16xlarge,c6i.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,$2.9120 hourly,$1.9263 hourly,$0.7403 hourly,$5.8560 hourly,$4.8703 hourly
R6GD 12xlarge,r6gd.12xlarge,384.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),20 Gigabit,$2.9184 hourly,$1.8386 hourly,$0.7644 hourly,unavailable,unavailable
C6IN 12xlarge,c6in.12xlarge,96.0 GiB,48 vCPUs,EBS only,75 Gigabit,$2.9232 hourly,$1.8416 hourly,$0.8248 hourly,$5.1312 hourly,$4.0496 hourly
M7A 12xlarge,m7a.12xlarge,192.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,$2.9558 hourly,$1.9553 hourly,$0.9585 hourly,$5.1638 hourly,$4.1633 hourly
C6GN 16xlarge,c6gn.16xlarge,128.0 GiB,64 vCPUs,EBS only,100 Gigabit,$2.9760 hourly,$1.8818 hourly,$0.7630 hourly,unavailable,unavailable
R6IN Eight Extra Large,r6in.8xlarge,256.0 GiB,32 vCPUs,EBS only,50 Gigabit,$2.9765 hourly,$1.8671 hourly,$0.8683 hourly,$4.4485 hourly,$3.3391 hourly
C7I 16xlarge,c7i.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,$3.0576 hourly,$2.0226 hourly,$0.8102 hourly,$6.0016 hourly,$4.9666 hourly
M6GD 16xlarge,m6gd.16xlarge,256.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,$3.0720 hourly,$1.9488 hourly,$0.8702 hourly,unavailable,unavailable
M6GD Metal,m6gd.metal,256.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,$3.0720 hourly,$1.9488 hourly,$0.8559 hourly,unavailable,unavailable
HPC6A 48xlarge,hpc6a.48xlarge,384.0 GiB,96 vCPUs,EBS only,100 Gigabit,$3.0930 hourly,$2.4357 hourly,unavailable,$7.5090 hourly,$6.8517 hourly,87.00,2085.00,10.88,260.62,500.00,11000.00
C7GD Metal,c7gd.metal,128.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),30 Gigabit,$3.1450 hourly,$1.9813 hourly,$0.8755 hourly,unavailable,unavailable
C7GD 16xlarge,c7gd.16xlarge,128.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),30 Gigabit,$3.1450 hourly,$1.9813 hourly,$0.8610 hourly,unavailable,unavailable
R6I 12xlarge,r6i.12xlarge,384.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,$3.2160 hourly,$2.0261 hourly,$0.8764 hourly,$5.4240 hourly,$4.2341 hourly
R5 12xlarge,r5.12xlarge,384.0 GiB,48 vCPUs,EBS only,12 Gigabit,$3.2160 hourly,$2.0260 hourly,$0.8741 hourly,$5.4240 hourly,$4.2340 hourly
M6I 16xlarge,m6i.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,$3.2640 hourly,$2.1591 hourly,$0.9146 hourly,$6.2080 hourly,$5.1031 hourly
M5 General Purpose 16xlarge,m5.16xlarge,256.0 GiB,64 vCPUs,EBS only,20 Gigabit,$3.2640 hourly,$2.0560 hourly,$0.8676 hourly,$6.2080 hourly,$5.0000 hourly
C5 High-CPU 18xlarge,c5.18xlarge,144.0 GiB,72 vCPUs,EBS only,25 Gigabit,$3.2760 hourly,$2.0640 hourly,$0.8663 hourly,$6.5880 hourly,$5.3760 hourly
R6IDN Eight Extra Large,r6idn.8xlarge,256.0 GiB,32 vCPUs,1900 GB                 NVMe SSD,50 Gigabit,$3.3134 hourly,$2.0875 hourly,$0.8854 hourly,$4.7854 hourly,$3.5595 hourly
R7I 12xlarge,r7i.12xlarge,384.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,$3.3768 hourly,$2.2338 hourly,$1.0282 hourly,$5.5848 hourly,$4.4417 hourly
R6G 16xlarge,r6g.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,$3.4240 hourly,$2.1503 hourly,$0.8805 hourly,unavailable,unavailable
R6G Metal,r6g.metal,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,$3.4240 hourly,$2.1503 hourly,$0.9211 hourly,unavailable,unavailable
M7I 16xlarge,m7i.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,$3.4272 hourly,$2.2671 hourly,$0.9607 hourly,$6.3712 hourly,$5.2111 hourly
R7GD 12xlarge,r7gd.12xlarge,384.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),22.5 Gigabit,$3.4474 hourly,$2.1718 hourly,$0.9152 hourly,unavailable,unavailable
C7A 16xlarge,c7a.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,$3.5162 hourly,$2.3259 hourly,$1.2136 hourly,$6.4602 hourly,$5.2699 hourly
M6IN 12xlarge,m6in.12xlarge,192.0 GiB,48 vCPUs,EBS only,75 Gigabit,$3.5520 hourly,$2.2303 hourly,$0.9474 hourly,$5.7600 hourly,$4.4383 hourly
G6 Graphics and Machine Learning GPU 16xlarge,g6.16xlarge,256.0 GiB,64 vCPUs,1880 GB                 (2 * 940 GB NVMe SSD),25 Gigabit,$3.6028 hourly,$2.3454 hourly,$0.3930 hourly,$6.5468 hourly,$5.2894 hourly
M7GD 16xlarge,m7gd.16xlarge,256.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),30 Gigabit,$3.6288 hourly,$2.2861 hourly,$0.9648 hourly,unavailable,unavailable
M7GD Metal,m7gd.metal,256.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),30 Gigabit,$3.6288 hourly,$2.2861 hourly,$0.9358 hourly,unavailable,unavailable
R7G Metal,r7g.metal,512.0 GiB,64 vCPUs,EBS only,30 Gigabit,$3.6448 hourly,$2.2962 hourly,$0.9915 hourly,unavailable,unavailable
R7G 16xlarge,r7g.16xlarge,512.0 GiB,64 vCPUs,EBS only,30 Gigabit,$3.6448 hourly,$2.2962 hourly,$0.9807 hourly,unavailable,unavailable
R5D 12xlarge,r5d.12xlarge,384.0 GiB,48 vCPUs,1800 GB                 (2 * 900 GB NVMe SSD),12 Gigabit,$3.6480 hourly,$2.2980 hourly,$1.0404 hourly,$5.8560 hourly,$4.5060 hourly
C5 High-CPU 18xlarge,c5d.18xlarge,144.0 GiB,72 vCPUs,1800 GB                 (2 * 900 GB NVMe SSD),25 Gigabit,$3.7440 hourly,$2.3590 hourly,$0.9812 hourly,$7.0560 hourly,$5.6710 hourly
R5B 12xlarge,r5b.12xlarge,384.0 GiB,48 vCPUs,EBS only,12 Gigabit,$3.7906 hourly,$2.3881 hourly,$1.0614 hourly,$5.9986 hourly,$4.5961 hourly
X2IEDN Quadruple Extra Large,x2iedn.4xlarge,512.0 GiB,16 vCPUs,475 GB                 NVMe SSD,Up to 25 Gigabit,$3.8029 hourly,$2.3399 hourly,$0.9502 hourly,$4.5389 hourly,$3.0759 hourly,10000.00,20000.00,1250.00,2500.00,32500.00,65000.00
R5N 12xlarge,r5n.12xlarge,384.0 GiB,48 vCPUs,EBS only,50 Gigabit,$3.8160 hourly,$2.3940 hourly,$1.0017 hourly,$6.0240 hourly,$4.6020 hourly
